Distance,Label,Index
1.2296991,0,0
1.3748691,1,1
1.1964394,0,2
1.3443809,1,3
1.0569658,0,4
1.372969,1,5
1.0687591,0,6
1.1122162,0,7
1.0462204,0,8
1.1886531,0,9
1.2591769,0,10
1.3778665,2,11
1.367043,2,12
1.3672596,2,13
1.3741324,2,14
1.3716637,2,15
1.3588619,2,16
1.3595681,2,17
1.366138,2,18
1.3741598,2,19
1.3693087,2,20
1.3826288,2,21
1.3758968,3,22
1.3674879,3,23
1.358813,3,24
1.3542821,3,25
1.3312851,3,26
1.3451903,3,27
1.3561214,3,28
1.3637278,3,29
1.345253,3,30
1.3694389,3,31
1.3595271,3,32
1.3810216,4,33
1.3727303,4,34
1.3832785,4,35
1.3783735,4,36
1.3660872,4,37
1.3854638,4,38
1.0988683,5,39
1.1979182,6,40
1.1958828,6,41
1.3265125,7,42
1.1962425,6,43
1.3189127,7,44
1.3138634,7,45
1.3237543,7,46
1.3213061,7,47
1.3144801,7,48
1.3099344,7,49
1.3217952,7,50
1.3157437,7,51
1.3206737,7,52
1.3176067,7,53
1.2130983,8,54
1.2080129,8,55
1.2158401,8,56
1.2236153,8,57
1.221593,8,58
1.3599749,9,59
1.3694624,9,60
1.2236726,8,61
1.3346399,9,62
1.3607402,9,63
1.2258536,8,64
1.3689129,9,65
1.3467861,9,66
1.375109,9,67
1.3728626,9,68
1.3585525,10,69
1.3610929,10,70
1.3602499,10,71
1.339005,10,72
1.3470066,10,73
1.368233,10,74
1.37012,10,75
1.3640877,10,76
1.4673349,11,77
1.4700547,11,78
1.4760969,11,79
1.4716296,11,80
1.4627473,11,81
1.4729882,11,82
1.4803526,11,83
1.4254832,12,84
1.3251073,13,85
1.4088807,12,86
1.3274953,13,87
1.3846457,14,88
1.3505439,14,89
1.1465516,14,90
1.0453653,14,91
1.1582445,14,92
1.0966959,14,93
1.1402557,14,94
1.3141019,14,95
1.3284079,14,96
1.4043697,15,97
1.402727,15,98
1.2826016,16,99
1.2825727,16,100
1.4026419,15,101
1.268298,16,102
1.3968767,15,103
1.273623,16,104
1.2545452,16,105
1.2651962,16,106
1.235738,16,107
1.2657621,16,108
1.4010086,17,109
1.2252905,16,110
1.2225658,16,111
1.3910265,17,112
1.2206787,16,113
1.3913596,17,114
1.2262623,16,115
1.3950747,17,116
1.2076684,16,117
1.4004073,17,118
1.2088809,16,119
1.3978577,17,120
1.2428102,16,121
1.2473352,16,122
1.2730892,16,123
1.4051874,17,124
1.254243,16,125
1.2799227,16,126
1.2857,16,127
1.3615268,18,128
1.3617413,18,129
1.2072918,19,130
1.2462281,20,131
1.245743,20,132
1.2432395,20,133
1.2485878,20,134
1.2835987,20,135
1.2374636,21,136
1.243529,21,137
1.2760992,20,138
1.2894706,20,139
1.2567363,20,140
1.2611635,22,141
1.2712374,22,142
1.2584339,22,143
1.2550383,22,144
1.3074464,23,145
1.2950747,23,146
1.1154673,23,147
1.2208478,23,148
1.2063335,23,149
1.2628633,23,150
1.2803946,23,151
1.3490446,23,152
1.253226,23,153
1.0996956,24,154
1.0813652,24,155
1.4317656,25,156
1.4267918,25,157
1.4306688,25,158
1.4240074,25,159
1.4156324,25,160
1.4121213,25,161
1.4214661,25,162
1.40824,25,163
1.4153186,25,164
1.4080179,25,165
1.407016,25,166
1.4075296,25,167
1.4189055,25,168
1.4075935,25,169
1.4106382,25,170
1.4212253,25,171
1.4106604,25,172
1.413105,25,173
1.4113426,25,174
1.4204233,25,175
1.4053699,25,176
1.4275757,25,177
1.4353253,25,178
1.4221791,25,179
1.4157352,25,180
1.291909,26,181
1.3578174,27,182
1.3633643,27,183
1.353123,27,184
1.3682175,27,185
1.3508636,27,186
1.3696368,27,187
1.4223734,28,188
1.1819888,29,189
1.2049309,29,190
1.2360809,29,191
0.6763952,30,192
0.640251,30,193
0.64443797,30,194
0.635337,30,195
0.6351761,30,196
0.62308884,30,197
0.6139865,30,198
0.62519205,30,199
0.7690922,30,200
0.62019074,30,201
0.68763137,30,202
0.66747344,30,203
0.6240649,30,204
0.6589576,30,205
0.7127334,30,206
