threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1,Samples per test
0.0,0,0,2709200,94070,0.0,0.0,1.0,1.0,,0.0,,1
0.0018033286830684443,12,0,2709200,94058,0.00012756457956840652,0.0,0.9998724354204316,1.0,1.0,0.00012756457956840652,0.00025509661784400844,1
0.0036066573661368887,41,6,2709194,94029,0.0004358456468587222,2.2146759190905065e-06,0.9995641543531413,0.9999977853240809,0.8723404255319149,0.0004358456468587222,0.0008712559898849304,1
0.005409986049205333,88,16,2709184,93982,0.0009354735835016477,5.905802450908017e-06,0.9990645264164983,0.9999940941975491,0.8461538461538461,0.0009354735835016477,0.0018688810074967614,1
0.007213314732273777,154,29,2709171,93916,0.0016370787711278835,1.0704266942270781e-05,0.9983629212288722,0.9999892957330577,0.8415300546448088,0.0016370787711278835,0.003267800494413971,1
0.009016643415342222,230,40,2709160,93840,0.0024449877750611247,1.4764506127270043e-05,0.9975550122249389,0.9999852354938727,0.8518518518518519,0.0024449877750611247,0.004875980496078017,1
0.010819972098410666,291,52,2709148,93779,0.0030934410545338576,1.9193857965451055e-05,0.9969065589454661,0.9999808061420346,0.8483965014577259,0.0030934410545338576,0.006164405325537796,1
0.012623300781479111,363,76,2709124,93707,0.0038588285319442967,2.8052561641813083e-05,0.9961411714680557,0.9999719474383582,0.826879271070615,0.0038588285319442967,0.007681808081769989,1
0.014426629464547555,417,104,2709096,93653,0.004432869140002126,3.838771593090211e-05,0.9955671308599979,0.9999616122840691,0.800383877159309,0.004432869140002126,0.008816906471017327,1
0.016229958147616,495,137,2709063,93575,0.005262038907196768,5.056843348589989e-05,0.9947379610928032,0.9999494315665141,0.7832278481012658,0.005262038907196768,0.010453844691769973,1
0.018033286830684444,581,170,2709030,93489,0.006176251727437015,6.274915104089768e-05,0.993823748272563,0.9999372508489591,0.7736351531291611,0.006176251727437015,0.012254669324305799,1
0.01983661551375289,657,214,2708986,93413,0.0069841607313702566,7.899010778089472e-05,0.9930158392686298,0.9999210098922191,0.7543053960964409,0.0069841607313702566,0.01384017442411603,1
0.02163994419682133,723,279,2708921,93347,0.007685765918996492,0.00010298243023770855,0.9923142340810035,0.9998970175697622,0.7215568862275449,0.007685765918996492,0.015209525412319085,1
0.023443272879889777,798,340,2708860,93272,0.008483044541299032,0.00012549830208179535,0.991516955458701,0.9998745016979182,0.7012302284710018,0.008483044541299032,0.016763297201915803,1
0.025246601562958222,889,404,2708796,93181,0.009450409269692782,0.00014912151188542743,0.9905495907303072,0.9998508784881146,0.6875483372003094,0.009450409269692782,0.01864454767572329,1
0.027049930246026664,975,471,2708729,93095,0.010364622089933028,0.00017385205964860474,0.989635377910067,0.9998261479403514,0.6742738589211619,0.010364622089933028,0.020415427781732904,1
0.02885325892909511,1049,572,2708628,93021,0.01115127033060487,0.00021113243761996161,0.9888487296693951,0.9997888675623801,0.6471314003701419,0.01115127033060487,0.02192473691360734,1
0.030656587612163555,1121,661,2708539,92949,0.011916657808015308,0.00024398346375313745,0.9880833421919847,0.9997560165362469,0.6290684624017957,0.011916657808015308,0.02339022659934065,1
0.032459916295232,1210,765,2708435,92860,0.012862761773147656,0.0002823711796840396,0.9871372382268524,0.999717628820316,0.6126582278481013,0.012862761773147656,0.025196522463428603,1
0.034263244978300446,1297,869,2708331,92773,0.013787604975018602,0.0003207588956149417,0.9862123950249814,0.9996792411043851,0.5987996306555863,0.013787604975018602,0.02695457001537886,1
0.03606657366136889,1367,983,2708217,92703,0.01453173168916764,0.0003628377380776613,0.9854682683108323,0.9996371622619223,0.5817021276595745,0.01453173168916764,0.028355113047085663,1
0.03786990234443733,1441,1117,2708083,92629,0.015318379929839481,0.00041229883360401596,0.9846816200701605,0.999587701166396,0.5633307271305708,0.015318379929839481,0.029825723392805394,1
0.03967323102750578,1526,1310,2707890,92544,0.016221962368449028,0.0004835375756680939,0.983778037631551,0.9995164624243319,0.5380818053596615,0.016221962368449028,0.031494437908901406,1
0.04147655971057422,1604,1485,2707715,92466,0.01705113213564367,0.0005481322899749003,0.9829488678643563,0.9994518677100251,0.5192618970540628,0.01705113213564367,0.033018042589981374,1
0.04327988839364266,1697,1659,2707541,92373,0.01803975762729882,0.000612357891628525,0.9819602423727012,0.9993876421083715,0.5056615017878426,0.01803975762729882,0.03483669656970419,1
0.04508321707671111,1770,1863,2707337,92300,0.01881577548633996,0.0006876568728776023,0.98118422451366,0.9993123431271224,0.48720066061106526,0.01881577548633996,0.0362322548949367,1
0.04688654575977955,1858,2121,2707079,92212,0.019751249069841607,0.000782887937398494,0.9802487509301584,0.9992171120626016,0.4669514953505906,0.019751249069841607,0.037899417638119715,1
0.048689874442847995,1950,2381,2706819,92120,0.020729244179866057,0.0008788572272257493,0.9792707558201339,0.9991211427727742,0.4502424382359732,0.020729244179866057,0.03963374355951667,1
0.050493203125916444,2019,2661,2706539,92051,0.021462740512384396,0.0009822087701166396,0.9785372594876156,0.9990177912298833,0.43141025641025643,0.021462740512384396,0.04089113924050633,1
0.052296531808984886,2128,2947,2706253,91942,0.022621452110130752,0.0010877749889266204,0.9773785478898692,0.9989122250110734,0.4193103448275862,0.022621452110130752,0.042927026072923494,1
0.05409986049205333,2203,3239,2705961,91867,0.023418730732433293,0.0011955558836556916,0.9765812692675667,0.9988044441163443,0.4048144064682102,0.023418730732433293,0.04427606720797491,1
0.05590318917512178,2289,3566,2705634,91781,0.02433294355267354,0.0013162557212461244,0.9756670564473264,0.9986837442787538,0.3909479077711358,0.02433294355267354,0.04581436077057794,1
0.05770651785819022,2385,3905,2705295,91685,0.025353460189220793,0.0014413849106747379,0.9746465398107792,0.9985586150893253,0.37917329093799684,0.025353460189220793,0.04752889597449182,1
0.05950984654125866,2491,4294,2704906,91579,0.02648028064207505,0.0015849697327624391,0.9735197193579249,0.9984150302672375,0.3671333824613117,0.02648028064207505,0.04939765009171583,1
0.06131317522432711,2599,4727,2704473,91471,0.02762836185819071,0.0017447955115901374,0.9723716381418093,0.9982552044884099,0.35476385476385475,0.02762836185819071,0.0512643496784883,1
0.06311650390739555,2688,5185,2704015,91382,0.028574465823323056,0.0019138491067473794,0.971425534176677,0.9980861508932526,0.34142004318557095,0.028574465823323056,0.05273535210853123,1
0.064919832590464,2776,5629,2703571,91294,0.029509939406824705,0.0020777351247600767,0.9704900605931753,0.9979222648752399,0.33027959547888164,0.029509939406824705,0.054179068065381794,1
0.06672316127353244,2867,6056,2703144,91203,0.030477304135218455,0.0022353462276686843,0.9695226958647816,0.9977646537723314,0.32130449400425865,0.030477304135218455,0.05567368656122261,1
0.06852648995660089,2982,6535,2702665,91088,0.03169979802274902,0.0024121511885427434,0.968300201977251,0.9975878488114572,0.31333403383419145,0.03169979802274902,0.0575747922036549,1
0.07032981863966933,3113,7033,2702167,90957,0.033092378016370785,0.002595969289827255,0.9669076219836292,0.9974040307101727,0.30682042184111963,0.033092378016370785,0.05974130651723344,1
0.07213314732273778,3263,7517,2701683,90807,0.03468693526097587,0.002774619813967223,0.9653130647390241,0.9972253801860328,0.30269016697588125,0.03468693526097587,0.06224129709108249,1
0.07393647600580622,3369,8003,2701197,90701,0.03581375571383013,0.002954008563413554,0.9641862442861698,0.9970459914365865,0.29625395708758356,0.03581375571383013,0.06390242977181769,1
0.07573980468887466,3490,8512,2700688,90580,0.03710003189114489,0.003141886903883065,0.9628999681088551,0.9968581130961169,0.2907848691884686,0.03710003189114489,0.06580435930311486,1
0.0775431333719431,3621,9077,2700123,90449,0.038492611884766666,0.0033504355529307543,0.9615073881152333,0.9966495644470692,0.28516301779807846,0.038492611884766666,0.06782931215345422,1
0.07934646205501156,3774,9703,2699497,90296,0.040119060274263846,0.0035815000738225306,0.9598809397257362,0.9964184999261775,0.28003264821547824,0.040119060274263846,0.07018326871042428,1
0.08114979073808,3871,10337,2698863,90199,0.0411502072924418,0.0038155174959397607,0.9588497927075582,0.9961844825040602,0.27245213963963966,0.0411502072924418,0.07150113596483128,1
0.08295311942114844,3995,10964,2698236,90075,0.04246837461464867,0.004046951129484719,0.9575316253853513,0.9959530488705153,0.2670633063707467,0.04246837461464867,0.07328325491383025,1
0.08475644810421688,4110,11642,2697558,89960,0.04369086850217923,0.0042972095083419455,0.9563091314978208,0.9957027904916581,0.26091924834941593,0.04369086850217923,0.0748483910327621,1
0.08655977678728533,4237,12316,2696884,89833,0.045040926969278194,0.004545991436586446,0.9549590730307218,0.9954540085634136,0.2559656859783725,0.045040926969278194,0.07660251484772607,1
0.08836310547035377,4346,13070,2696130,89724,0.046199638567024554,0.004824302377085487,0.9538003614329754,0.9951756976229145,0.24954065227377126,0.046199638567024554,0.0779649462712807,1
0.09016643415342222,4458,13798,2695402,89612,0.04739024130966302,0.0050930163886018015,0.952609758690337,0.9949069836113982,0.244193689745837,0.04739024130966302,0.0793761017039688,1
0.09196976283649066,4581,14598,2694602,89489,0.04869777825023918,0.0053883065111472025,0.9513022217497609,0.9946116934888528,0.2388549976536837,0.04869777825023918,0.08090137661259703,1
0.0937730915195591,4692,15403,2693797,89378,0.04987775061124694,0.005685442196958512,0.950122249388753,0.9943145578030415,0.23349091813884051,0.04987775061124694,0.08219682039153854,1
0.09557642020262755,4808,16250,2692950,89262,0.051110874880408205,0.005998080614203455,0.9488891251195918,0.9940019193857965,0.22832177794662362,0.051110874880408205,0.08352442498783962,1
0.09737974888569599,4910,17096,2692104,89160,0.05219517380673966,0.006310349918795216,0.9478048261932603,0.9936896500812048,0.22312096700899756,0.05219517380673966,0.08459974499465868,1
0.09918307756876443,5028,17965,2691235,89042,0.053449558839162324,0.006631108814410158,0.9465504411608376,0.9933688911855898,0.21867524898882268,0.053449558839162324,0.0859024627764537,1
0.10098640625183289,5134,18821,2690379,88936,0.054576379292016586,0.006947069245533737,0.9454236207079835,0.9930529307544662,0.21431851388019202,0.054576379292016586,0.08699851726329168,1
0.10278973493490133,5253,19736,2689464,88817,0.05584139470606995,0.007284807323195039,0.94415860529393,0.992715192676805,0.21021249349713875,0.05584139470606995,0.08824196406823508,1
0.10459306361796977,5384,20651,2688549,88686,0.05723397469969172,0.007622545400856342,0.9427660253003083,0.9923774545991436,0.20679854042634915,0.05723397469969172,0.08965488530868823,1
0.10639639230103821,5501,21591,2687609,88569,0.05847772935048368,0.007969511294847187,0.9415222706495163,0.9920304887051528,0.20304887051528125,0.05847772935048368,0.09080404747363034,1
0.10819972098410666,5655,22592,2686608,88415,0.06011480812161157,0.00833899306068212,0.9398851918783885,0.9916610069393179,0.20019825114171416,0.06011480812161157,0.09246466149431397,1
0.1100030496671751,5798,23539,2685661,88272,0.061634952694801744,0.008688542743245238,0.9383650473051982,0.9913114572567547,0.19763438661076457,0.061634952694801744,0.0939654962846516,1
0.11180637835024355,5964,24551,2684649,88106,0.06339959604549804,0.00906208474826517,0.936600403954502,0.9909379152517348,0.19544486318204163,0.06339959604549804,0.09574186298511057,1
0.113609707033312,6099,25558,2683642,87971,0.06483469756564261,0.009433781190019194,0.9351653024343574,0.9905662188099809,0.19265881163723664,0.06483469756564261,0.09701973323152545,1
0.11541303571638044,6235,26610,2682590,87835,0.06628042946741788,0.009822087701166396,0.9337195705325821,0.9901779122988336,0.1898310245090577,0.06628042946741788,0.09825473742268447,1
0.11721636439944888,6387,27652,2681548,87683,0.06789624747528436,0.01020670308578178,0.9321037525247157,0.9897932969142182,0.18763770968594848,0.06789624747528436,0.09971196403063017,1
