threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1
0.0,0,0,12445560,51940,0.0,0.0,1.0,1.0,,0.0,
0.018583264013733527,525,2456,12443104,51415,0.010107816711590296,0.00019733945278476822,0.9898921832884097,0.9998026605472152,0.17611539751761154,0.010107816711590296,0.019118370022395803
0.037166528027467054,1261,9133,12436427,50679,0.024278013092029264,0.0007338360025583421,0.9757219869079707,0.9992661639974416,0.12131999230325187,0.024278013092029264,0.04045946032662752
0.05574979204120058,1943,21649,12423911,49997,0.037408548324990375,0.0017394958523360943,0.9625914516750096,0.9982605041476639,0.08235842658528315,0.037408548324990375,0.05144839273420537
0.07433305605493411,2672,42240,12403320,49268,0.05144397381594147,0.0033939814680898246,0.9485560261840585,0.9966060185319102,0.05949412183826149,0.05144397381594147,0.05517697104861025
0.09291632006866764,3412,72003,12373557,48528,0.06569118213323065,0.005785436734064196,0.9343088178667693,0.9942145632659358,0.04524298879533249,0.06569118213323065,0.053582505594597776
0.11149958408240115,4184,110714,12334846,47756,0.08055448594532152,0.008895863263686006,0.9194455140546784,0.991104136736314,0.036414907135024106,0.08055448594532152,0.05015643918052242
0.13008284809613468,5060,158081,12287479,46880,0.09742010011551791,0.01270179887445804,0.9025798998844821,0.987298201125542,0.031016114894477784,0.09742010011551791,0.04705204085902521
0.14866611210986821,5934,213732,12231828,46006,0.11424720831728918,0.017173353388678373,0.8857527916827108,0.9828266466113216,0.02701373904017918,0.11424720831728918,0.04369564737156027
0.16724937612360175,6861,276326,12169234,45079,0.13209472468232575,0.022202777536727957,0.8679052753176743,0.977797222463272,0.024227807067414817,0.13209472468232575,0.04094567134250597
0.18583264013733528,7842,345624,12099936,44098,0.1509819021948402,0.027770867682932708,0.8490180978051598,0.9722291323170673,0.022186009404016226,0.1509819021948402,0.038687143258856554
0.2044159041510688,8825,420392,12025168,43115,0.16990758567577974,0.033778472001259885,0.8300924143242202,0.9662215279987401,0.020560695405820367,0.16990758567577974,0.03668241343262179
0.2229991681648023,9761,500289,11945271,42179,0.1879283788987293,0.04019819116214939,0.8120716211012707,0.9598018088378506,0.01913733947652191,0.1879283788987293,0.034737272905211836
0.24158243217853584,10742,584762,11860798,41198,0.20681555641124375,0.04698559164874863,0.7931844435887563,0.9530144083512514,0.01803850184045783,0.20681555641124375,0.03318279264307029
0.26016569619226937,11715,672964,11772596,40225,0.22554871005005775,0.05407261706182767,0.7744512899499423,0.9459273829381724,0.017110207849225696,0.22554871005005775,0.031807487995829595
0.2787489602060029,12599,765852,11679708,39341,0.24256834809395456,0.06153616229402293,0.7574316519060454,0.9384638377059771,0.0161847052672551,0.24256834809395456,0.030344741212272288
0.29733222421973643,13549,861452,11584108,38391,0.26085868309587984,0.06921761656365805,0.7391413169041201,0.930782383436342,0.015484553731938593,0.26085868309587984,0.029233791578967813
0.31591548823346993,14465,960638,11484922,37475,0.27849441663457836,0.07718720571834453,0.7215055833654216,0.9228127942816554,0.014834330322027519,0.27849441663457836,0.028168246120172186
0.3344987522472035,15384,1063300,11382260,36556,0.29618790912591453,0.08543609126467591,0.7038120908740855,0.9145639087353241,0.014261822739560427,0.29618790912591453,0.027213291067587457
0.353082016260937,16268,1169542,11276018,35672,0.3132075471698113,0.09397262959641832,0.6867924528301886,0.9060273704035817,0.013718892571322555,0.3132075471698113,0.026286406786507774
0.37166528027467055,17104,1278668,11166892,34836,0.32930304197150556,0.10274089715529072,0.6706969580284944,0.8972591028447093,0.013199853060569297,0.32930304197150556,0.025382277519232593
0.39024854428840405,17910,1389690,11055870,34030,0.3448209472468233,0.11166150820051489,0.6551790527531768,0.8883384917994851,0.01272378516624041,0.3448209472468233,0.024541978979678532
0.4088318083021376,18787,1505047,10940513,33153,0.3617058144012322,0.12093043623589457,0.6382941855987678,0.8790695637641054,0.012328770719120323,0.3617058144012322,0.023844789925458854
0.4274150723158711,19600,1623908,10821652,32340,0.37735849056603776,0.1304809104612408,0.6226415094339622,0.8695190895387592,0.011925710127361716,0.37735849056603776,0.02312073269130047
0.4459983363296046,20433,1745603,10699957,31507,0.39339622641509436,0.14025909641671408,0.6066037735849057,0.8597409035832859,0.011569979320919846,0.39339622641509436,0.022478844605209308
0.4645816003433382,21290,1870934,10574626,30650,0.4098960338852522,0.15032943475424168,0.5901039661147478,0.8496705652457583,0.011251310627071636,0.4098960338852522,0.021901444528342258
0.4831648643570717,22133,1999444,10446116,29807,0.42612629957643433,0.16065520555121665,0.5738737004235657,0.8393447944487833,0.010948383366055312,0.42612629957643433,0.02134826963077708
0.5017481283708052,22946,2131769,10313791,28994,0.44177897574123987,0.17128751136951653,0.5582210242587601,0.8287124886304835,0.010649204187096669,0.44177897574123987,0.020797088806360758
0.5203313923845387,23748,2267938,10177622,28192,0.45721986907970735,0.18222868235740297,0.5427801309202926,0.817771317642597,0.010362676213058857,0.45721986907970735,0.020266032208210695
