threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1,Training Data,Testing Data
0.0,0,0,12445560,51940,0.0,0.0,1.0,1.0,,0.0,,UK (Full),UK
0.018583266422002004,525,2456,12443104,51415,0.010107816711590296,0.00019733945278476822,0.9898921832884097,0.9998026605472152,0.17611539751761154,0.010107816711590296,0.019118370022395803,UK (Full),UK
0.03716653284400401,1261,9133,12436427,50679,0.024278013092029264,0.0007338360025583421,0.9757219869079707,0.9992661639974416,0.12131999230325187,0.024278013092029264,0.04045946032662752,UK (Full),UK
0.05574979926600601,1943,21649,12423911,49997,0.037408548324990375,0.0017394958523360943,0.9625914516750096,0.9982605041476639,0.08235842658528315,0.037408548324990375,0.05144839273420537,UK (Full),UK
0.07433306568800802,2672,42240,12403320,49268,0.05144397381594147,0.0033939814680898246,0.9485560261840585,0.9966060185319102,0.05949412183826149,0.05144397381594147,0.05517697104861025,UK (Full),UK
0.09291633211001002,3412,72003,12373557,48528,0.06569118213323065,0.005785436734064196,0.9343088178667693,0.9942145632659358,0.04524298879533249,0.06569118213323065,0.053582505594597776,UK (Full),UK
0.11149959853201202,4184,110714,12334846,47756,0.08055448594532152,0.008895863263686006,0.9194455140546784,0.991104136736314,0.036414907135024106,0.08055448594532152,0.05015643918052242,UK (Full),UK
0.13008286495401403,5060,158081,12287479,46880,0.09742010011551791,0.01270179887445804,0.9025798998844821,0.987298201125542,0.031016114894477784,0.09742010011551791,0.04705204085902521,UK (Full),UK
0.14866613137601603,5934,213732,12231828,46006,0.11424720831728918,0.017173353388678373,0.8857527916827108,0.9828266466113216,0.02701373904017918,0.11424720831728918,0.04369564737156027,UK (Full),UK
0.16724939779801803,6861,276325,12169235,45079,0.13209472468232575,0.022202697186787898,0.8679052753176743,0.9777973028132121,0.0242278926218104,0.13209472468232575,0.04094579352243633,UK (Full),UK
0.18583266422002004,7842,345625,12099935,44098,0.1509819021948402,0.027770948032872767,0.8490180978051598,0.9722290519671273,0.022185946637168392,0.1509819021948402,0.038687047830945204,UK (Full),UK
0.20441593064202204,8825,420393,12025167,43115,0.16990758567577974,0.03377855235119995,0.8300924143242202,0.9662214476488,0.020560647503133606,0.16990758567577974,0.036682337194850756,UK (Full),UK
0.22299919706402405,9761,500290,11945270,42179,0.1879283788987293,0.040198271512089455,0.8120716211012707,0.9598017284879106,0.019137301956078902,0.1879283788987293,0.03473721109412784,UK (Full),UK
0.24158246348602605,10742,584763,11860797,41198,0.20681555641124375,0.04698567199868869,0.7931844435887563,0.9530143280013114,0.01803847154935727,0.20681555641124375,0.03318274139116064,UK (Full),UK
0.26016572990802805,11715,672967,11772593,40225,0.22554871005005775,0.05407285811164785,0.7744512899499423,0.9459271418883521,0.017110132879205237,0.22554871005005775,0.03180735845521855,UK (Full),UK
0.27874899633003003,12599,765853,11679707,39341,0.24256834809395456,0.061536242643962985,0.7574316519060454,0.938463757356037,0.016184684476371055,0.24256834809395456,0.03034470466960183,UK (Full),UK
0.29733226275203206,13549,861453,11584107,38391,0.26085868309587984,0.06921769691359811,0.7391413169041201,0.9307823030864019,0.015484536035346205,0.26085868309587984,0.029233760041081316,UK (Full),UK
0.3159155291740341,14465,960638,11484922,37475,0.27849441663457836,0.07718720571834453,0.7215055833654216,0.9228127942816554,0.014834330322027519,0.27849441663457836,0.028168246120172186,UK (Full),UK
0.33449879559603607,15384,1063301,11382259,36556,0.29618790912591453,0.08543617161461597,0.7038120908740855,0.914563828385384,0.014261809518070614,0.29618790912591453,0.027213266998341624,UK (Full),UK
0.35308206201803805,16268,1169540,11276020,35672,0.3132075471698113,0.09397246889653821,0.6867924528301886,0.9060275311034618,0.013718915709794503,0.3132075471698113,0.026286449261077375,UK (Full),UK
0.3716653284400401,17104,1278670,11166890,34836,0.32930304197150556,0.10274105785517083,0.6706969580284944,0.8972589421448292,0.013199832686872866,0.32930304197150556,0.025382239852075442,UK (Full),UK
0.3902485948620421,17910,1389689,11055871,34030,0.3448209472468233,0.11166142785057483,0.6551790527531768,0.8883385721494251,0.012723794205594064,0.3448209472468233,0.02454199579456253,UK (Full),UK
0.4088318612840441,18787,1505044,10940516,33153,0.3617058144012322,0.1209301951860744,0.6382941855987678,0.8790698048139256,0.012328794991045595,0.3617058144012322,0.0238448353218837,UK (Full),UK
0.42741512770604606,19600,1623909,10821651,32340,0.37735849056603776,0.13048099081118086,0.6226415094339622,0.8695190091888192,0.011925702871112966,0.37735849056603776,0.023120719054362596,UK (Full),UK
0.4459983941280481,20433,1745604,10699956,31507,0.39339622641509436,0.14025917676665414,0.6066037735849057,0.8597408232333459,0.011569972769539937,0.39339622641509436,0.022478832240451888,UK (Full),UK
0.4645816605500501,21290,1870934,10574626,30650,0.4098960338852522,0.15032943475424168,0.5901039661147478,0.8496705652457583,0.011251310627071636,0.4098960338852522,0.021901444528342258,UK (Full),UK
0.4831649269720521,22133,1999444,10446116,29807,0.42612629957643433,0.16065520555121665,0.5738737004235657,0.8393447944487833,0.010948383366055312,0.42612629957643433,0.02134826963077708,UK (Full),UK
0.5017481933940541,22946,2131767,10313793,28994,0.44177897574123987,0.1712873506696364,0.5582210242587601,0.8287126493303636,0.010649214071665228,0.44177897574123987,0.0207971076558027,UK (Full),UK
0.5203314598160561,23748,2267936,10177624,28192,0.45721986907970735,0.18222852165752285,0.5427801309202926,0.8177714783424772,0.010362685256780604,0.45721986907970735,0.020266049502821275,UK (Full),UK
0.5389147262380581,24575,2408710,10036850,27365,0.47314208702348864,0.19353970411938073,0.5268579129765114,0.8064602958806193,0.010099515675311359,0.47314208702348864,0.019776881368890137,UK (Full),UK
0.5574979926600601,25440,2553548,9892012,26500,0.4897959183673469,0.20517742873763817,0.5102040816326531,0.7948225712623619,0.00986433438232361,0.4897959183673469,0.019339183740490047,UK (Full),UK
0.5760812590820621,26236,2702228,9743332,25704,0.505121293800539,0.21712385782560206,0.4948787061994609,0.7828761421743979,0.009615666543520456,0.505121293800539,0.018872077582969958,UK (Full),UK
0.5946645255040641,27046,2854717,9590843,24894,0.5207162110127069,0.2293763398352505,0.479283788987293,0.7706236601647495,0.009385227029426084,0.5207162110127069,0.018438130921909955,UK (Full),UK
0.6132477919260662,27876,3011195,9434365,24064,0.5366961879091259,0.24194933775579403,0.46330381209087407,0.7580506622442059,0.009172539897883268,0.5366961879091259,0.018036817080236855,UK (Full),UK
0.6318310583480682,28661,3173437,9272123,23279,0.55180978051598,0.2549854727308373,0.44819021948402005,0.7450145272691626,0.008950694201114395,0.55180978051598,0.017615651691836418,UK (Full),UK
0.6504143247700701,29435,3339471,9106089,22505,0.566711590296496,0.26832629467858415,0.433288409703504,0.7316737053214158,0.008737257732925763,0.566711590296496,0.017209193281428045,UK (Full),UK
0.6689975911920721,30236,3509769,8935791,21704,0.5821332306507508,0.2820097287707423,0.41786676934924916,0.7179902712292576,0.008541230873967692,0.5821332306507508,0.01683544709064309,UK (Full),UK
0.6875808576140742,30984,3684904,8760656,20956,0.5965344628417405,0.29608181552296564,0.40346553715825956,0.7039181844770344,0.008338249161438665,0.5965344628417405,0.01644661062023001,UK (Full),UK
0.7061641240360761,31745,3865316,8580244,20195,0.6111859838274932,0.31057790890887993,0.3888140161725067,0.6894220910911201,0.008145882243054445,0.6111859838274932,0.016077483900358597,UK (Full),UK
0.7247473904580781,32502,4050172,8395388,19438,0.6257604928763958,0.32543107742841626,0.37423950712360415,0.6745689225715837,0.0079609589205506,0.6257604928763958,0.015721902939427962,UK (Full),UK
0.7433306568800802,33254,4241513,8204047,18686,0.6402387370042356,0.3408053153092348,0.35976126299576433,0.6591946846907653,0.007779137436028677,0.6402387370042356,0.015371505396598385,UK (Full),UK
0.7619139233020822,33997,4437653,8007907,17943,0.6545437042741625,0.3565651525523962,0.3454562957258375,0.6434348474476038,0.007602786443482831,0.6545437042741625,0.015030982029759549,UK (Full),UK
0.7804971897240842,34688,4639507,7806053,17252,0.6678475163650366,0.37278410935305445,0.3321524836349634,0.6272158906469456,0.007421170918200888,0.6678475163650366,0.014679225201988517,UK (Full),UK
0.7990804561460861,35408,4846519,7599041,16532,0.6817096649980747,0.3894175111445367,0.3182903350019253,0.6105824888554633,0.007252873711548739,0.6817096649980747,0.01435304194458424,UK (Full),UK
0.8176637225680882,36169,5060302,7385258,15771,0.6963611859838275,0.4065949623801581,0.3036388140161725,0.593405037619842,0.007096871541111487,0.6963611859838275,0.01405054880039686,UK (Full),UK
0.8362469889900902,36940,5281038,7164522,15000,0.7112052368117058,0.42433108674900927,0.28879476318829417,0.5756689132509907,0.00694624911949617,0.7112052368117058,0.013758124425736111,UK (Full),UK
0.8548302554120921,37652,5509005,6936555,14288,0.7249133615710435,0.44264822153442673,0.2750866384289565,0.5573517784655733,0.006788232984300273,0.7249133615710435,0.01345051269094739,UK (Full),UK
0.8734135218340942,38379,5742025,6703535,13561,0.7389102810935695,0.46137136456696204,0.2610897189064305,0.538628635433038,0.0066395013220529224,0.7389102810935695,0.013160746348294958,UK (Full),UK
0.8919967882560962,39037,5982796,6462764,12903,0.7515787447054293,0.4807172999848942,0.24842125529457065,0.5192827000151058,0.006482577647038701,0.7515787447054293,0.012854283490673754,UK (Full),UK
0.9105800546780982,39729,6230439,6215121,12211,0.764901809780516,0.5006154001909114,0.23509819021948403,0.49938459980908856,0.006336193862748175,0.764901809780516,0.012568276277469476,UK (Full),UK
0.9291633211001002,40418,6485639,5959921,11522,0.778167115902965,0.5211207048939541,0.22183288409703503,0.4788792951060459,0.006193326230524802,0.778167115902965,0.012288847197710792,UK (Full),UK
0.9477465875221022,41114,6748604,5696956,10826,0.7915671929149019,0.5422499268815546,0.2084328070850982,0.45775007311844546,0.006055332489508401,0.7915671929149019,0.01201872411628877,UK (Full),UK
0.9663298539441042,41798,7018208,5427352,10142,0.804736234116288,0.5639125921212063,0.19526376588371197,0.43608740787879374,0.005920391569072321,0.804736234116288,0.011754307470838502,UK (Full),UK
0.9849131203661062,42484,7294648,5150912,9456,0.8179437812860993,0.586124529551101,0.18205621871390065,0.41387547044889905,0.00579027336566931,0.8179437812860993,0.01149914360017063,UK (Full),UK
1.0034963867881082,43220,7578811,4866749,8720,0.8321139776665383,0.6089570095680709,0.1678860223334617,0.39104299043192914,0.005670404646740482,0.8321139776665383,0.011264050906629698,UK (Full),UK
1.0220796532101102,43932,7868258,4577302,8008,0.845822102425876,0.6322140586683123,0.15417789757412398,0.3677859413316878,0.00555244502470239,0.845822102425876,0.011032466823118155,UK (Full),UK
1.0406629196321122,44655,8162340,4283220,7285,0.8597420100115518,0.6558435297407268,0.1402579899884482,0.3441564702592732,0.005441090191964294,0.8597420100115518,0.010813742934167663,UK (Full),UK
1.0592461860541142,45337,8458385,3987175,6603,0.8728725452445129,0.6796307277454771,0.1271274547554871,0.3203692722545229,0.005331430166696419,0.8728725452445129,0.010598127883032313,UK (Full),UK
1.0778294524761163,45947,8755331,3690229,5993,0.8846168656141702,0.7034903210462204,0.1153831343858298,0.2965096789537795,0.005220491842207462,0.8846168656141702,0.010379728591343848,UK (Full),UK
1.0964127188981183,46541,9050673,3394887,5399,0.8960531382364266,0.7272210330431094,0.10394686176357336,0.27277896695689063,0.005115961875800657,0.8960531382364266,0.01017383683781036,UK (Full),UK
1.1149959853201201,47163,9343939,3101621,4777,0.9080284944166346,0.7507849385644358,0.09197150558336542,0.24921506143556416,0.005022094318643328,0.9080284944166346,0.009988942122676146,UK (Full),UK
1.1335792517421222,47715,9632777,2812783,4225,0.9186561417019639,0.7739930545511813,0.0813438582980362,0.2260069454488187,0.004928985014398028,0.9186561417019639,0.00980536005799989,UK (Full),UK
1.1521625181641242,48242,9913789,2531771,3698,0.9288024643819792,0.7965723519070255,0.0711975356180208,0.20342764809297453,0.004842586817888842,0.9288024643819792,0.009634939026685815,UK (Full),UK
1.1707457845861262,48757,10185425,2260135,3183,0.938717751251444,0.818398288224877,0.06128224874855603,0.18160171177512302,0.004764132590176723,0.938717751251444,0.009480151995086195,UK (Full),UK
1.1893290510081282,49196,10445072,2000488,2744,0.9471698113207547,0.8392609091113618,0.052830188679245285,0.1607390908886382,0.004687892476159366,0.9471698113207547,0.009329609277571616,UK (Full),UK
1.2079123174301303,49627,10691793,1753767,2313,0.955467847516365,0.8590849266726447,0.044532152483634964,0.1409150733273553,0.004620152642760454,0.955467847516365,0.009195838923189812,UK (Full),UK
1.2264955838521323,49973,10922785,1522775,1967,0.9621293800539084,0.8776451200267404,0.037870619946091644,0.12235487997325954,0.0045542788786556675,0.9621293800539084,0.009065645154180188,UK (Full),UK
1.2450788502741343,50286,11135886,1309674,1654,0.9681555641124374,0.8947677726032416,0.03184443588756257,0.10523222739675836,0.004495371607016234,0.9681555641124374,0.00894919004188604,UK (Full),UK
