threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1,Samples per test
0.0,0,0,2070,787290,0.0,0.0,1.0,1.0,,0.0,,1
0.0018122888303495146,29,0,2070,787261,3.683521955061032e-05,0.0,0.9999631647804494,1.0,1.0,3.683521955061032e-05,7.366772553437678e-05,1
0.0036245776606990293,134,0,2070,787156,0.00017020411792350977,0.0,0.9998297958820765,1.0,1.0,0.00017020411792350977,0.0003403503068232617,1
0.005436866491048544,339,0,2070,786951,0.00043059101474678964,0.0,0.9995694089852533,1.0,1.0,0.00043059101474678964,0.0008608113718514681,1
0.0072491553213980585,606,0,2070,786684,0.0007697290706093053,0.0,0.9992302709293907,1.0,1.0,0.0007697290706093053,0.0015382740869353316,1
0.009061444151747573,892,0,2070,786398,0.0011330005461773934,0.0,0.9988669994538226,1.0,1.0,0.0011330005461773934,0.0022634366174309993,1
0.010873732982097088,1154,0,2070,786136,0.0014657877021173901,0.0,0.9985342122978826,1.0,1.0,0.0014657877021173901,0.002927284626428764,1
0.012686021812446602,1467,0,2070,785823,0.0018633540372670807,0.0,0.9981366459627329,1.0,1.0,0.0018633540372670807,0.0037197768133911966,1
0.014498310642796117,1771,0,2070,785519,0.0022494887525562374,0.0,0.9977505112474437,1.0,1.0,0.0022494887525562374,0.004488879820444808,1
0.016310599473145632,2107,0,2070,785183,0.0026762692273495153,0.0,0.9973237307726505,1.0,1.0,0.0026762692273495153,0.005338251855530234,1
0.018122888303495146,2392,0,2070,784898,0.0030382705229330996,0.0,0.9969617294770668,1.0,1.0,0.0030382705229330996,0.006058134793499156,1
0.01993517713384466,2702,0,2070,784588,0.003432026318129279,0.0,0.9965679736818707,1.0,1.0,0.003432026318129279,0.006840575600765577,1
0.021747465964194176,3024,0,2070,784266,0.003841024273139504,0.0,0.9961589757268605,1.0,1.0,0.003841024273139504,0.007652654514534729,1
0.02355975479454369,3346,0,2070,783944,0.004250022228149729,0.0,0.9957499777718503,1.0,1.0,0.004250022228149729,0.008464071962318945,1
0.025372043624893204,3669,0,2070,783621,0.004660290363144457,0.0,0.9953397096368556,1.0,1.0,0.004660290363144457,0.009277345601984425,1
0.02718433245524272,4016,0,2070,783274,0.005101042817767278,0.0,0.9948989571822328,1.0,1.0,0.005101042817767278,0.010150308477377903,1
0.028996621285592234,4390,0,2070,782900,0.005576090131971701,0.0,0.9944239098680283,1.0,1.0,0.005576090131971701,0.011090339531123686,1
0.030808910115941748,4749,0,2070,782541,0.006032084746408566,0.0,0.9939679152535914,1.0,1.0,0.006032084746408566,0.011991833735459995,1
0.032621198946291265,5137,0,2070,782153,0.006524914580396042,0.0,0.9934750854196039,1.0,1.0,0.006524914580396042,0.012965232128637715,1
0.03443348777664078,5489,0,2070,781801,0.006972017934941381,0.0,0.9930279820650586,1.0,1.0,0.006972017934941381,0.013847490914870348,1
0.03624577660699029,5896,0,2070,781394,0.00748898118863443,0.0,0.9925110188113656,1.0,1.0,0.00748898118863443,0.01486662649113827,1
0.038058065437339805,6322,0,2070,780968,0.008030077862033051,0.0,0.991969922137967,1.0,1.0,0.008030077862033051,0.015932218766853325,1
0.03987035426768932,6732,0,2070,780558,0.00855085165567961,0.0,0.9914491483443204,1.0,1.0,0.00855085165567961,0.01695670900806275,1
0.04168264309803884,7182,0,2070,780108,0.009122432648706321,0.0,0.9908775673512937,1.0,1.0,0.009122432648706321,0.018079932332417,1
0.04349493192838835,7614,0,2070,779676,0.009671150402011965,0.0,0.9903288495979881,1.0,1.0,0.009671150402011965,0.019157030282902086,1
0.045307220758737866,8082,0,2070,779208,0.010265594634759746,0.0,0.9897344053652403,1.0,1.0,0.010265594634759746,0.020322566044567825,1
0.04711950958908738,8512,0,2070,778778,0.010811772028096382,0.0,0.9891882279719036,1.0,1.0,0.010811772028096382,0.0213922558626392,1
0.048931798419436894,8944,0,2070,778346,0.011360489781402024,0.0,0.988639510218598,1.0,1.0,0.011360489781402024,0.02246575755368397,1
0.05074408724978641,9378,0,2070,777912,0.011911747894676675,0.0,0.9880882521053234,1.0,1.0,0.011911747894676675,0.023543056831704046,1
0.05255637608013593,9853,0,2070,777437,0.012515083387315983,0.0,0.987484916612684,1.0,1.0,0.012515083387315983,0.024720784100217903,1
0.05436866491048544,10338,0,2070,776952,0.013131120679800328,0.0,0.9868688793201996,1.0,1.0,0.013131120679800328,0.025921858309888822,1
0.056180953740834955,10847,0,2070,776443,0.013777642291912764,0.0,0.9862223577080872,1.0,1.0,0.013777642291912764,0.02718079728166969,1
0.05799324257118447,11346,0,2070,775944,0.014411462104180163,0.0,0.9855885378958198,1.0,1.0,0.014411462104180163,0.028413444923594728,1
0.05980553140153398,11853,0,2070,775437,0.01505544335632359,0.0,0.9849445566436764,1.0,1.0,0.01505544335632359,0.02966427785765501,1
0.061617820231883495,12399,0,2070,774891,0.015748961627862667,0.0,0.9842510383721373,1.0,1.0,0.015748961627862667,0.031009554964492442,1
